Category,NodeName,Timestamp,URI,Description,Notes,Confidence
resident,rpi_orcasound_lab,2023_08_18_00_59_53_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2023-08-18T07%3A59%3A53.000Z,[orca] JKL pods vocalized today during two transits. Tug noise now.,tp_human_only,
resident,rpi_orcasound_lab,2023_09_11_13_21_56_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2023-09-11T20%3A21%3A56.000Z,Faint J pod calls 15 secs ago...,tp_human_only,
resident,rpi_sunset_bay,2023_10_26_07_37_24_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2023-10-26T14%3A37%3A24.000Z,07:25-07:35 J pod calls,tp_human_only,
resident,rpi_sunset_bay,2023_10_26_07_59_21_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2023-10-26T14%3A59%3A21.000Z,faint Jpod calls (& radio),tp_human_only,
resident,rpi_sunset_bay,2023_10_26_12_03_43_PST,https://live.orcasound.net/bouts/new/sunset-bay?time=2023-10-26T19%3A03%3A43.000Z,J pod calls,tp_human_only,
resident,rpi_port_townsend,2023_10_27_16_22_56_PST,https://live.orcasound.net/bouts/new/port-townsend?time=2023-10-27T23%3A22%3A56.000Z,J pod S1 calls :),tp_human_only,
humpback,rpi_orcasound_lab,2023_10_28_07_33_52_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2023-10-28T14%3A33%3A52.000Z,Humpback vocalizing,tp_human_only,
humpback,rpi_orcasound_lab,2023_10_28_07_43_52_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2023-10-28T14%3A43%3A52.000Z,Humpback,tp_human_only,
humpback,rpi_orcasound_lab,2023_10_28_07_46_49_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2023-10-28T14%3A46%3A49.000Z,Loud ongoing humpback vocals !,tp_human_only,
humpback,rpi_orcasound_lab,2023_10_28_08_09_33_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2023-10-28T15%3A09%3A33.000Z,Humpback sound as ship noise rises.,tp_human_only,
humpback,rpi_orcasound_lab,2023_10_28_08_09_53_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2023-10-28T15%3A09%3A53.000Z,Humpback getting louder again with some vessel noise,tp_human_only,
humpback,rpi_orcasound_lab,2023_10_28_08_09_59_PST,https://live.orcasound.net/bouts/new/orcasound-lab?time=2023-10-28T15%3A09%3A59.000Z,humpback,tp_human_only,
